Plot	number_of_individuals	number_of_species	sand_cover	depth	rugosity	Altolamprologus_compressiceps	Altolamprologus_fasciatus	Asprotilapia_leptura	Aulonocranus_dewindti	Callochromis_macrops	Chalinochromis_brichardi	Ctenochromis_horei	Cyatopharynx_furcifer	Cyprichromis_leptosoma	Enantiopus_melanogenys	Eretmodus_cyanostictus	Gnatochromis_pfefferi	Grammatotria_lemairii	Haplotaxodon_microlepis	Interochromis_loocki	Julidochromis_ornatus	Lamprologus_callipterus	Lepidiolamprologus_lemairi	Lepidiolamprologus_attenuatus	Lepidiolamprologus_elongatus	Limnotilapia_dardenni	Lobochilotes_labiatus	Neolamprologus_caudopunctatus	Neolamprologus_cylindricus	Neolamprologus_furcifer	Neolamprologus_modestus	Neolamprologus_prochilus	Neolamprologus_pulcher	Neolamprologus_savoryi	Neolamprologus_tetracanthus	Ophthalmotilapia_nasuta	Ophthalmotilapia_ventralis	Paracyprichromis_brieni	Perrisodus_microlepis	Petrochromis_ephippium	Petrochromis_famula	Petrochromis_fasciolatus	Petrochromis_polyodon	Plecodus_straeleni	Psuedosimichromis_curvifrons	Simochromis_babaulti	Simochromis_diagramma	Telmatochromis_temporalis	Telmatochromis_vittatus	Tropheus_moorii	Variabilichromis_moorii	Xenotilapia_boulengeri	Xenotilapia_flavipinnis	Xenotilapia_spiloptera
22	267	19	49.146	15.45	1.179814815	0	0	0	0	0	3	0	0	0	0	0	6	0	0	18	1	6	7	8	0	0	2	46	0	1	0	0	18	28	18	0	0	0	18	0	0	0	0	0	0	0	0	12	19	1	0	45	0	10
23	315	23	49.753	14.35	1.200919811	5	0	0	0	0	1	0	0	0	0	0	6	0	0	32	4	0	4	2	0	4	4	27	0	1	0	0	68	18	28	0	0	0	5	1	0	1	0	0	0	0	0	17	38	4	0	23	5	17
24	127	14	94.624	14.9	0.969930556	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	4	3	5	0	0	2	0	0	0	0	0	0	2	8	0	0	0	14	0	0	0	0	0	0	0	0	7	2	4	0	50	18	0
25	332	29	6.505	3.4	1.340754717	7	17	0	4	0	7	4	0	0	0	38	12	0	0	2	11	1	5	0	0	5	5	0	0	0	0	2	0	0	4	0	7	0	13	3	6	6	5	0	1	0	10	52	8	43	51	1	0	2
26	243	20	12.79	2.15	1.193993056	1	8	0	0	0	11	3	0	0	0	45	3	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	2	0	3	58	0	44	49	0	0	4
27	219	22	1.789	2.4	1.259212963	2	2	0	0	0	8	1	0	0	0	21	2	0	0	0	6	3	1	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	7	1	0	0	1	8	67	2	18	53	0	0	10
28	212	17	30.856	5.15	1.323419811	0	2	0	0	0	0	0	0	0	0	23	5	0	0	9	5	0	0	0	3	0	2	0	0	0	3	0	1	0	8	0	0	0	6	0	0	0	0	0	0	0	0	76	2	10	7	31	0	19
29	360	25	15.058	5.85	1.185486111	1	12	0	0	0	5	0	2	0	0	27	10	0	0	37	3	9	5	0	0	0	1	0	0	0	0	0	35	4	10	0	6	0	13	0	9	4	1	0	0	0	0	69	16	29	36	4	0	12
30	365	20	17.218	5.75	1.196828704	0	6	0	0	0	3	0	0	0	0	23	3	0	0	35	9	3	3	0	0	0	0	0	0	0	8	0	87	0	4	0	4	0	9	0	0	3	0	0	0	0	0	103	2	18	19	10	0	13
31	239	18	0.554	2.8	1.367013889	1	5	0	0	0	16	0	0	0	0	47	5	0	0	1	4	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	20	0	1	4	0	0	3	0	0	0	4	5	8	30	79	0	0	0
32	241	20	1.798	2.75	1.230856481	0	7	0	0	0	4	0	3	0	0	48	7	0	0	0	7	0	1	0	0	0	6	0	0	1	1	0	0	0	0	0	3	0	2	4	0	0	1	0	0	0	6	14	16	22	78	0	0	10
33	399	25	10.942	2.3	1.372582547	0	14	0	0	0	7	0	0	0	0	72	7	0	0	3	5	0	8	0	2	0	12	3	0	0	8	0	0	0	9	0	10	0	3	2	2	8	1	0	0	0	4	37	27	51	71	3	0	30
34	386	24	18.428	2	1.298912037	3	14	0	0	0	7	0	11	0	0	41	3	0	0	3	10	0	0	0	0	0	2	0	0	0	5	0	0	0	6	0	12	0	4	0	1	11	1	0	0	5	7	84	4	31	91	1	0	29
35	244	21	24.788	1.55	1.329198113	0	8	0	0	0	0	3	2	0	0	14	1	0	0	2	5	0	0	0	0	0	3	0	0	0	4	0	0	0	6	0	1	0	1	1	0	1	2	0	0	0	11	96	1	34	33	0	0	15
36	239	16	35.268	1.55	1.072060185	0	7	0	0	0	1	3	0	0	0	20	0	0	0	0	0	0	0	0	0	13	2	4	0	0	17	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	1	78	0	17	13	23	0	17
